rating,pop,,
6.7,6,,
7.9,133,,
6.9,9,,
8.6,106,,
7.7,38,,
6.4,25,,
6.4,5,,
4.5,10,,
5.3,6,,
4.8,12,,
4.5,22,,
4.7,1,,
4.1,0,,
6.2,0,,
7.4,6,,
7.4,17,,
8,27,,
8.9,93,,
7.7,2,,
5.8,49,,
5.6,28,,
6.3,7,,
7.3,40,,
5.9,30,,
8.3,30,,
7,5,,
4.7,20,,
5.4,5,,
4.7,0,,
7.3,18,,
7.3,1,,
5,1,,
7.2,9,,
8.5,10,,
6.6,9,,
6.7,38,,
8.2,6,,
6.3,12,,
8,166,,
7.8,51,,
5.2,7,,
6.6,16,,
6.9,14,,
7.5,19,,
7.2,27,,
7.3,13,,
7.1,53,,
6,3,,
7.6,7,,
6,22,,
7.3,10,,
6.1,7,,
7.1,13,,
6.6,7,,
5.1,0,,
5.6,5,,
7.1,16,,
7.5,16,,
4.5,5,,
6.2,0,,
6.8,2,,
7.3,2,,
6.8,16,,
8.1,3,,
7.9,56,,
7.1,12,,
5.8,11,,
6.1,59,,
8.1,89,,
5.5,33,,
7,92,,
6.5,15,,
4.8,11,,
5.6,9,,
6,9,,
8.1,179,,
7.5,5,,
5.3,7,,
7.4,7,,
8.2,61,,
4.8,7,,
6.3,4,,
5.9,34,,
6,18,,
6.8,259,,
7.2,53,,
6.8,31,,
7.7,11,,
7.4,6,,
7.1,70,,
6.7,15,,
5.4,3,,
7.4,21,,
7.2,20,,
7.6,37,,
5.7,25,,
7.3,32,,
7.4,56,,
6.3,14,,
5.4,29,,
5.1,12,,
6.3,10,,
7.3,13,,
3.5,4,,
8,1,,
6.1,14,,
7.1,7,,
7.2,0,,
7,9,,
6.9,1,,
7.3,5,,
7.7,6,,
6.2,1,,
6.9,12,,
7.2,17,,
7.2,22,,
7.1,2,,
7.1,8,,
6.2,4,,
6,0,,
5.7,6,,
5,1,,
3.4,0,,
5.8,16,,
6.6,56,,
7.2,32,,
6.3,0,,
5.6,4,,
6.1,17,,
6.1,10,,
3.8,8,,
6.5,5,,
8.4,30,,
7.7,1,,
6.8,25,,
3.6,9,,
7,19,,
7,46,,
4.9,18,,
5.2,5,,
7.2,37,,
6.3,10,,
7.4,3,,
7.3,5,,
4.7,2,,
7,0,,
6.7,2,,
6.1,0,,
6,0,,
7.5,137,,
7.4,26,,
7.8,4,,
7.5,109,,
8.1,83,,
6.2,15,,
6.1,13,,
7.3,7,,
7.2,10,,
8,20,,
5.7,1,,
7.3,47,,
5.9,1,,
6.5,3,,
6.9,5,,
8.2,2,,
4.4,2,,
8.3,2,,
5,0,,
7.6,1,,
6.4,21,,
7.8,105,,
7.2,7,,
6.7,21,,
6.6,38,,
7.5,52,,
6.4,13,,
5.7,3,,
6.1,9,,
6,10,,
6.5,3,,
6.4,38,,
6.3,12,,
6.4,9,,
4.7,1,,
7.3,0,,
6,2,,
6.6,1,,
6.9,7,,
7.4,15,,
6.7,7,,
6.9,1,,
5.7,4,,
7.1,1,,
6.8,6,,
6.5,386,,
6.5,9,,
8.1,27,,
5.6,19,,
7.9,18,,
6.4,29,,
6.3,2,,
8,0,,
7.2,17,,
5.2,3,,
4.3,8,,
6.7,12,,
4.5,8,,
8.1,0,,
6.3,10,,
6.6,1,,
6.3,1,,
6.8,2,,
7.5,78,,
7.2,5,,
7.2,1,,
7.8,1,,
6.6,1,,
7.7,8,,
7.3,78,,
6.2,12,,
7.4,33,,
6.5,3,,
7.1,4,,
4.9,2,,
6.6,3,,
5.9,13,,
3.8,4,,
5.2,8,,
6,3,,
7.4,0,,
7,77,,
6.6,6,,
6.7,28,,
4.6,7,,
7.2,49,,
7.7,76,,
6.1,26,,
4.5,6,,
5.8,5,,
7.6,3,,
4.8,1,,
7.1,2,,
6.4,1,,
6.6,2,,
6.6,7,,
5.3,1,,
7.6,20,,
3.8,0,,
6.2,8,,
7.6,5,,
7.8,32,,
6.4,1,,
5.8,3,,
6.3,9,,
8.3,1,,
6.9,1,,
6.6,9,,
6,1,,
7,13,,
7.6,134,,
7.9,274,,
7.5,39,,
6.3,126,,
7,11,,
5.8,2,,
6,1,,
7.2,14,,
7,14,,
8.9,633,,
5.3,3,,
7.8,19,,
4.1,4,,
7.8,5,,
6.7,14,,
7.7,22,,
7.3,14,,
6.5,8,,
6.4,6,,
5,180,,
6.2,5,,
6.7,4,,
5.7,3,,0.262655726
