id,rating,pop
魔髮精靈,6.7,6
怪獸與牠們的產地,7.9,133
烈火邊境,6.9,9
鋼鐵英雄,8.6,106
怪物來敲門,7.7,38
腸腸搞轟趴,6.4,25
路易的第9條命,6.4,5
育陰房,4.5,10
追殺厄夜叢林,5.3,6
鋼鐵麥斯,4.8,12
一路順風,4.5,22
毛小孩選邊站,4.7,1
陰桃術,4.1,0
玩酷壞痞子,6.2,0
獻給米其林的生命貴客,7.4,6
密探,7.4,17
夜行動物,8,27
樂來越愛你,8.9,93
星際大戰外傳:俠盜一號,7.7,2
星際過客,5.8,49
長城,5.6,28
決戰異世界5,6.3,7
歡樂好聲音,7.3,40
最美的安排,5.9,30
刺客教條,8.3,30
墮落天使,7,5
擺渡人,4.7,20
卡內陰,5.4,5
終極車陣: 飆出重圍,4.7,0
遇見街貓BOB,7.3,18
瑪麗娜之橋,7.3,1
通靈美人,5,1
不過就是世界末日,7.2,9
新居風暴,8.5,10
記憶乍響,6.6,9
再見瓦城,6.7,38
顛父人生,8.2,6
怪物遊戲,6.3,12
神鬼獵人,8,166
大賣空,7.8,51
第5毀滅,5.2,7
翻轉幸福,6.6,16
女權之聲,6.9,14
愛在他鄉,7.5,19
史帝夫賈伯斯,7.2,27
安諾瑪麗莎,7.3,13
葉問3,7.1,53
瞎趴姊妹,6,3
驚天巨浪,7.6,7
阿公歐買尬,6,22
寂寞公路,7.3,10
家有兩個爸,6.1,7
惡女訂製服,7.1,13
終極救援,6.6,7
鼠來寶4,5.1,0
我們全家不太熟,5.6,5
45年,7.1,16
索爾之子,7.5,16
銀河街道,4.5,5
為愛而生,6.2,0
教父啟示錄,6.8,2
極地奇蹟,7.3,2
恐龍當家,6.8,16
惡棍英雄:死侍,8.1,3
八惡人,7.9,56
震盪效應,7.1,12
傲慢與偏見與殭屍,5.8,11
單身啪啪啪,6.1,59
驚爆焦點,8.1,89
荷魯斯之眼,5.5,33
丹麥女孩,7,92
扣押幸福,6.5,15
名模大間諜2,4.8,11
非普通屍戀,5.6,9
西遊記之孫悟空三打白骨精,6,9
動物方城市,8.1,179
好萊塢的黑名單,7.5,5
鬼門開,5.3,7
年輕氣盛,7.4,7
不存在的房間,8.2,61
假掰新郎,4.8,7
岸邊之旅,6.3,4
全面攻佔2,5.9,34
託陰,6,18
蝙蝠俠對超人,6.8,259
因為愛你,7.2,53
絕命救援,6.8,31
少女離家記,7.7,11
帕蒂瑪的顛倒世界,7.4,6
單身動物園,7.1,70
馬克白,6.7,15
少年彌賽亞,5.4,3
被遺忘的新娘,7.4,21
功夫熊貓3,7.2,20
與森林共舞,7.6,37
摩天樓,5.7,25
科洛弗10號地窖,7.3,32
飛躍奇蹟,7.4,56
換腦行動,6.3,14
非死不可,5.4,29
反擊,5.1,12
非法999,6.3,10
天眼行動,7.3,13
格雷的五十道黑影,3.5,4
夢遊亞馬遜,8,1
特工爺爺,6.1,14
吸特樂回來了！,7.1,7
流離者之歌,7.2,0
大犯罪家,7,9
那些年狂熱戀情,6.9,1
擊劍大師,7.3,5
尋秘街拍客,7.7,6
捉妖記,6.2,1
計程人生,6.9,12
路邊野餐,7.2,17
死期大公開,7.2,22
居住正義,7.1,2
快樂告別的方法,7.1,8
乳白色的裸女,6.2,4
殘穢: 被詛咒的房間,6,0
愛重逢以後,5.7,6
蜂狂,5,1
情慾莊園,3.4,0
惡鄰纏身2,5.8,16
金錢怪獸,6.6,56
X戰警:天啟,7.2,32
魔境夢遊2,6.3,0
幸福百分百,5.6,4
禁愛世界,6.1,17
我媽的希臘婚禮,6.1,10
安娜華特,3.8,8
最後一堂課,6.5,5
帝國戰神,8.4,30
同級生,7.7,1
超狂亨利,6.8,25
傻瓜向錢衝,3.6,9
崩壞人生,7,19
走音天后,7,46
