movieTitle,english0me,rating,pttPopularity,pttGood,pttBad
屍速列車,,0,890,210,144
你的名字,Your 0me,8.9,633,198,62
美國隊長3,Captain America 3: Civil War,0,511,195,18
自殺突擊隊,Suicide Squad,6.5,386,58,112
奇異博士,Doctor Strange,7.9,274,68,20
蝙蝠俠對超人,Batman v Superman: Dawn of Justice,6.8,259,62,50
樓下的房客,The Te0nts Downstairs,0,243,79,78
怒,Rage,5,180,33,10
動物方城市,Zootopia,8.1,179,66,10
神鬼獵人,The Reve0nt,8,166,41,32
厲陰宅2,The Conjuring 2,7.5,137,58,4
會計師,The Accountant,7.6,134,44,14
怪獸與牠們的產地,Fantastic Beasts and Where to Find Them,7.9,133,34,10
六弄咖啡館,At Cafe 6,0,126,39,30
地獄,Inferno,6.3,126,35,20
我就要你好好的,Me Before You,7.5,109,48,32
鋼鐵英雄,Hacksaw Ridge,8.6,106,31,2
魔鬼剋星,Ghostbusters,7.8,105,32,6
樂來越愛你,La La Land,8.9,93,48,4
丹麥女孩,The Danish Girl,7,92,29,2
