"movieTitle" "movieUrl" "rating"
"1" "魔髮精靈" "Trolls" 6.7
"2" "比利林恩" "Billy Lynns Long Halftimewalk" 0
"3" "的中場戰事" "Billy Lynns Long Halftimewalk" 0
"4" "怪獸與牠們的產地" "Fantastic Beastsand Whereto Find Them" 0
"5" "死亡筆記本:" "Death Note Lightupthe N E Wworld" 0
"6" "決戰新世界" "Death Note Lightupthe N E Wworld" 0
"7" "烈火邊境" "Free Stateof Jones" 0
"8" "惡魔蛙男" "Museum" 0
"9" "我們的輕狂年代" "Everybody Wants Some" NA
"10" "鋼鐵英雄" "Hacksaw Ridge" 8.6
"11" "怪物來敲門" "A Monster Calls" 7.6
"12" "腸腸搞轟趴" "Sausage Party" 6.5
"13" "路易的第9條命" "9th Lifeof Louis Drax" 0
"14" "育陰房" "Shut In" 4.5
"15" "追殺厄夜叢林" "Blair Witch" 5.4
"16" "鋼鐵麥斯" "Max Steel" 4.8
"17" "一路順風" "Godspeed" 4.5
"18" "毛小孩選邊站" "Who Getsthe Dog" 0
"19" "絕命瘋人院" "Villmarkasylum" 0
"20" "陰桃術" "Cherry Tree" 4.1
"21" "暗殺教室：365日倒數計時" "Assassination Classroomthe Movie" 0
"22" "玩命光頭" "Public Friends" 0
"23" "只要我長大" "Lokah Laqi" NA
"24" "玩酷壞痞子" "Preppie Connection" 0
"25" "獻給米其林" "For Grace" 7.4
"26" "的生命貴客" "For Grace" 7.4
"27" "密探" "Ageof Shadows" 0
"28" "沉默" "Silence" 0
"29" "夜行動物" "Nocturnal Animals" 8
"30" "星際大戰外傳:" "Rogue One A Star Wars Story" 0
"31" "俠盜一號" "Rogue One A Star Wars Story" 0
"32" "星際過客" "Passengers" 5.8
"33" "長城" "Great Wall" 0
"34" "間諜大鄰演" "Keeping Upwiththe Joneses" 0
"35" "不過就是世界" "Its Onlythe Endofthe World" 0
"36" "末日" "Its Onlythe Endofthe World" 0
"37" "最美的安排" "Collateral Beauty" NA
"38" "惱爸偏頭痛" "Why Him" 0
"39" "刺客教條" "Assassins Creed" 0
"40" "決戰異世界5" "Underworld5" 0
"41" "樂來越愛你" "La La Land" 8.6
"42" "一萬公里的約定" "10000 Miles" 0
"43" "聖誕搞轟趴" "Office%20 Christmas%20 Party" 0
"44" "擺渡人" "Ferryman" NA
"45" "墮落天使" "Fallen" 7
"46" "歡樂好聲音" "Sing" 0
"47" "遇見街貓BOB" "A Street Cat Named Bob" 7.3
"48" "通靈美人" "Planetarium" 5
"49" "卡內陰" "Incarnate" 7.7
"50" "失控隧道" "Tunnel" 0
"51" "金爆內幕" "Gold" 0
"52" "終極車陣: 飆出重圍" "Nitro Rush" 5.3
"53" "怪物遊戲" "Goosebumps" 6.3
"54" "神鬼獵人" "Revenant" 8.2
"55" "大賣空" "Big Short" 0
"56" "第5毀滅" "5th Wave" 0
"57" "13小時" "13 Hours The Secret Soldiersof Benghazi" 0
"58" "翻轉幸福" "Joy" 6.6
"59" "女權之聲" "Suffragette" 6.9
"60" "愛在他鄉" "Brooklyn" 7.5
"61" "史帝夫賈伯斯" "Steve Jobs" 7.2
"62" "安諾瑪麗莎" "Anomalisa" 7.3
"63" "葉問3" "Ip Man3" 0
"64" "瞎趴姊妹" "Sisters" 6
"65" "驚天巨浪" "Wave" 0
"66" "阿公歐買尬" "Dirty Grandpa" 6
"67" "寂寞公路" "Endofthe Tour" 0
"68" "家有兩個爸" "Daddys Home" 0
"69" "惡女訂製服" "Dressmaker" 0
"70" "終極救援" "Extraction" 6.6
"71" "鼠來寶4" "Alvinandthe Chipmunks The Road Chip" 0
"72" "聖獄:耶路撒冷" "Jeruzalem" 4.7
"73" "我們全家不太熟" "We Are Family" 5.6
"74" "新世紀福爾摩斯" "Sherlockspecial" 0
