"movieTitle" "englishName" "rating"
"1" "魔髮精靈" "Trolls" 6.7
"2" "比利林恩的中場戰事" "Billy Lynn!|s Long Halftime walk" 0
"3" "怪獸與牠們的產地" "Fantastic Beasts and Where to Find Them" 7.9
"4" "死亡筆記本:決戰新世界" "Death Note: Light up the NEW world" 0
"5" "烈火邊境" "Free State of Jones" 6.9
"6" "惡魔蛙男" "Museum" 0
"7" "我們的輕狂年代" "Everybody Wants Some" NA
"8" "鋼鐵英雄" "Hacksaw Ridge" 8.6
"9" "怪物來敲門" "A Monster Calls" 7.7
"10" "腸腸搞轟趴" "Sausage Party" 6.4
"11" "路易的第9條命" "The 9th Life of Louis Drax" 6.4
"12" "育陰房" "Shut In" 4.5
"13" "追殺厄夜叢林" "Blair Witch" 5.3
"14" "鋼鐵麥斯" "Max Steel" 4.8
"15" "一路順風" "Godspeed" 4.5
"16" "毛小孩選邊站" "Who Gets the Dog?" 4.7
"17" "絕命瘋人院" "Villmark asylum" 0
"18" "陰桃術" "Cherry Tree" 4.1
"19" "暗殺教室：365日倒數計時" "Assassination Classroom the Movie: 365 Days!| Time" 0
"20" "玩命光頭" "Public Friends" 0
"21" "只要我長大" "Lokah Laqi!I" 0
"22" "玩酷壞痞子" "The Preppie Connection" 6.2
"23" "獻給米其林的生命貴客" "For Grace" 7.4
"24" "密探" "The Age of Shadows" 7.4
"25" "夜行動物" "Nocturnal Animals" 8
"26" "樂來越愛你" "La La Land" 8.9
"27" "星際大戰外傳:俠盜一號" "Rogue One: A Star Wars Story" 7.7
"28" "星際過客" "Passengers" 5.8
"29" "長城" "The Great Wall" 5.6
"30" "決戰異世界5" "Underworld: Blood Wars" 6.3
"31" "歡樂好聲音" "Sing" 7.3
"32" "最美的安排" "Collateral Beauty" 5.9
"33" "惱爸偏頭痛" "Why Him?" NA
"34" "刺客教條" "Assassin's Creed" 8.3
"35" "墮落天使" "Fallen" 7
"36" "失控隧道" "Tunnel" 0
"37" "一萬公里的約定" "10" NA
"38" "聖誕搞轟趴" "FALSE" 0
"39" "擺渡人" "The Ferryman" 4.7
"40" "卡內陰" "Incarnate" 5.4
"41" "終極車陣: 飆出重圍" "Nitro Rush" 4.7
"42" "遇見街貓BOB" "A Street Cat Named Bob" 7.3
"43" "瑪麗娜之橋" "Marina" 7.3
"44" "通靈美人" "Planetarium" 5
"45" "不過就是世界末日" "It's Only the End of the World" 7.2
"46" "新居風暴" "The Salesman" 8.5
"47" "記憶乍響" "Louder Than Bombs" 6.6
"48" "金爆內幕" "Gold" 0
"49" "再見瓦城" "The Road to Mandalay" 6.7
"50" "顛父人生" "Toni Erdmann" 8.2
"51" "怪物遊戲" "Goosebumps" 6.3
"52" "神鬼獵人" "The Revenant" 8
"53" "大賣空" "The Big Short" 7.8
"54" "第5毀滅" "The 5th Wave" 5.2
"55" "13小時" "13 Hours:The Secret Soldiers of Benghazi" 0
"56" "翻轉幸福" "Joy" 6.6
"57" "女權之聲" "Suffragette" 6.9
"58" "愛在他鄉" "Brooklyn" 7.5
"59" "史帝夫賈伯斯" "Steve Jobs" 7.2
"60" "安諾瑪麗莎" "Anomalisa" 7.3
"61" "葉問3" "Ip Man 3" 7.1
"62" "瞎趴姊妹" "Sisters" 6
"63" "驚天巨浪" "The Wave" 7.6
"64" "阿公歐買尬" "Dirty Grandpa" 6
"65" "寂寞公路" "The End of the Tour" 7.3
"66" "家有兩個爸" "Daddy's Home" 6.1
"67" "惡女訂製服" "The Dressmaker" 7.1
"68" "終極救援" "Extraction" 6.6
"69" "鼠來寶4" "Alvin and the Chipmunks: The Road Chip" 5.1
"70" "聖獄:耶路撒冷" "JeruZalem" 0
"71" "我們全家不太熟" "We Are Family" 5.6
"72" "新世紀福爾摩斯" "Sherlock: The Abominable Bride" 0
"73" "45年" "45 Years" 7.1
"74" "索爾之子" "Son of Saul" 7.5
"75" "銀河街道" "Galaxy Turnpike" 4.5
"76" "為愛而生" "Ma ma" 6.2
"77" "久美子的奇異旅程" "Kumiko" NA
"78" "教父啟示錄" "Black Souls" 6.8
"79" "妖怪手錶" "Yo-kai Watch the Movie" 0
"80" "極地奇蹟" "Midnight Sun" 7.3
"81" "恐龍當家" "The Good Dinosaur" 6.8
"82" "惡棍英雄:死侍" "Deadpool" 8.1
"83" "八惡人" "The Hateful Eight" 7.9
"84" "震盪效應" "Concussion" 7.1
"85" "傲慢與偏見與殭屍" "Pride and Prejudice and Zombies" 5.8
"86" "單身啪啪啪" "How to Be Single" 6.1
"87" "驚爆焦點" "Spotlight" 8.1
"88" "荷魯斯之眼" "Gods of Egypt" 5.5
"89" "神廚" "Rookie Chef" NA
"90" "丹麥女孩" "The Danish Girl" 7
"91" "扣押幸福" "Freeheld" 6.5
"92" "名模大間諜2" "Zoolander 2" 4.8
"93" "大尾鱸鰻2" "David Loman2" 0
"94" "非普通屍戀" "Nina Forever" 5.6
"95" "西遊記之孫悟空三打白骨精" "The Monkey King 2" 6
"96" "動物方城市" "Zootopia" 8.1
"97" "人生按個讚" "Like Life" 0
"98" "好萊塢的黑名單" "Trumbo" 7.5
"99" "鬼門開" "The Other Side of the Door" 5.3
"100" "年輕氣盛" "Youth" 7.4
"101" "不存在的房間" "Room" 8.2
"102" "假掰新郎" "Marry Me!" 4.8
"103" "臥虎藏龍2" "Crouching Tiger" NA
"104" "岸邊之旅" "Journey to the Shore" 6.3
