movieTitle,englishName,rating,pttPopularity,pttGood,pttBad
魔髮精靈,Trolls,6.7,6,4,0
比利林恩的中場戰事,Billy Lynn!|s Long Halftime walk,0,85,47,4
怪獸與牠們的產地,Fantastic Beasts and Where to Find Them,7.9,133,34,10
死亡筆記本:決戰新世界,Death Note: Light up the NEW world,0,6,1,0
烈火邊境,Free State of Jones,6.9,9,1,0
惡魔蛙男,Museum,0,19,4,0
我們的輕狂年代,Everybody Wants Some,NA,6,1,0
鋼鐵英雄,Hacksaw Ridge,8.6,106,31,2
怪物來敲門,A Monster Calls,7.7,38,19,0
腸腸搞轟趴,Sausage Party,6.4,25,8,0
路易的第9條命,The 9th Life of Louis Drax,6.4,5,1,0
育陰房,Shut In,4.5,10,4,4
追殺厄夜叢林,Blair Witch,5.3,6,2,0
鋼鐵麥斯,Max Steel,4.8,12,0,6
一路順風,Godspeed,4.5,22,11,4
毛小孩選邊站,Who Gets the Dog?,4.7,1,0,0
絕命瘋人院,Villmark asylum,0,0,0,0
陰桃術,Cherry Tree,4.1,0,0,0
暗殺教室：365日倒數計時,Assassination Classroom the Movie: 365 Days!| Time,0,0,0,0
玩命光頭,Public Friends,0,3,0,0
只要我長大,Lokah Laqi!I,0,22,8,0
玩酷壞痞子,The Preppie Connection,6.2,0,0,0
獻給米其林的生命貴客,For Grace,7.4,6,1,0
密探,The Age of Shadows,7.4,17,4,0
夜行動物,Nocturnal Animals,8,27,13,0
樂來越愛你,La La Land,8.9,93,48,4
星際大戰外傳:俠盜一號,Rogue One: A Star Wars Story,7.7,2,1,0
星際過客,Passengers,5.8,49,17,12
長城,The Great Wall,5.6,28,0,6
決戰異世界5,Underworld: Blood Wars,6.3,7,0,4
歡樂好聲音,Sing,7.3,40,8,2
最美的安排,Collateral Beauty,5.9,30,8,4
惱爸偏頭痛,Why Him?,NA,6,2,0
刺客教條,Assassin's Creed,8.3,30,1,2
墮落天使,Fallen,7,5,1,2
失控隧道,Tunnel,0,11,1,0
一萬公里的約定,10,NA,23,9,0
聖誕搞轟趴,FALSE,0,4,0,0
擺渡人,The Ferryman,4.7,20,2,12
卡內陰,Incarnate,5.4,5,1,0
終極車陣: 飆出重圍,Nitro Rush,4.7,0,0,0
遇見街貓BOB,A Street Cat Named Bob,7.3,18,7,0
瑪麗娜之橋,Marina,7.3,1,1,0
通靈美人,Planetarium,5,1,0,0
不過就是世界末日,It's Only the End of the World,7.2,9,3,0
新居風暴,The Salesman,8.5,10,5,0
記憶乍響,Louder Than Bombs,6.6,9,3,0
金爆內幕,Gold,0,1,0,0
再見瓦城,The Road to Mandalay,6.7,38,9,0
顛父人生,Toni Erdmann,8.2,6,1,0
怪物遊戲,Goosebumps,6.3,12,4,0
神鬼獵人,The Revenant,8,166,41,32
大賣空,The Big Short,7.8,51,25,0
第5毀滅,The 5th Wave,5.2,7,3,2
13小時,13 Hours:The Secret Soldiers of Benghazi,0,31,13,4
翻轉幸福,Joy,6.6,16,4,2
女權之聲,Suffragette,6.9,14,8,2
愛在他鄉,Brooklyn,7.5,19,13,0
史帝夫賈伯斯,Steve Jobs,7.2,27,14,4
安諾瑪麗莎,Anomalisa,7.3,13,10,0
葉問3,Ip Man 3,7.1,53,16,2
瞎趴姊妹,Sisters,6,3,1,0
驚天巨浪,The Wave,7.6,7,3,0
阿公歐買尬,Dirty Grandpa,6,22,2,6
寂寞公路,The End of the Tour,7.3,10,5,0
家有兩個爸,Daddy's Home,6.1,7,2,2
惡女訂製服,The Dressmaker,7.1,13,4,0
終極救援,Extraction,6.6,7,0,4
鼠來寶4,Alvin and the Chipmunks: The Road Chip,5.1,0,0,0
聖獄:耶路撒冷,JeruZalem,0,3,0,2
我們全家不太熟,We Are Family,5.6,5,2,2
新世紀福爾摩斯,Sherlock: The Abominable Bride,0,31,13,10
45年,45 Years,7.1,16,8,0
索爾之子,Son of Saul,7.5,16,12,0
銀河街道,Galaxy Turnpike,4.5,5,0,0
為愛而生,Ma ma,6.2,0,0,0
久美子的奇異旅程,Kumiko,NA,6,3,0
教父啟示錄,Black Souls,6.8,2,1,0
妖怪手錶,Yo-kai Watch the Movie,0,14,2,0
極地奇蹟,Midnight Sun,7.3,2,0,2
恐龍當家,The Good Dinosaur,6.8,16,4,4
惡棍英雄:死侍,Deadpool,8.1,3,1,0
八惡人,The Hateful Eight,7.9,56,24,0
震盪效應,Concussion,7.1,12,5,0
傲慢與偏見與殭屍,Pride and Prejudice and Zombies,5.8,11,5,0
單身啪啪啪,How to Be Single,6.1,59,27,0
驚爆焦點,Spotlight,8.1,89,48,0
荷魯斯之眼,Gods of Egypt,5.5,33,19,4
神廚,Rookie Chef,NA,20,5,4
丹麥女孩,The Danish Girl,7,92,29,2
扣押幸福,Freeheld,6.5,15,5,4
名模大間諜2,Zoolander 2,4.8,11,2,2
大尾鱸鰻2,David Loman2,0,52,6,22
非普通屍戀,Nina Forever,5.6,9,3,0
西遊記之孫悟空三打白骨精,The Monkey King 2,6,9,7,0
動物方城市,Zootopia,8.1,179,66,10
人生按個讚,Like Life,0,18,3,2
好萊塢的黑名單,Trumbo,7.5,5,3,0
鬼門開,The Other Side of the Door,5.3,7,1,2
年輕氣盛,Youth,7.4,7,3,0
不存在的房間,Room,8.2,61,33,0
假掰新郎,Marry Me!,4.8,7,2,2
