,movieTitle,englishName,rating
1,魔髮精靈,Trolls,6.7
2,比利林恩,Billy Lynn!|s Long Halftime walk,0
3,的中場戰事,Billy Lynn!|s Long Halftime walk,0
4,怪獸與牠們的產地,Fantastic Beasts and Where to Find Them ,0
5,死亡筆記本:,Death Note: Light up the NEW world,0
6,決戰新世界,Death Note: Light up the NEW world,0
7,烈火邊境,Free State of Jones,6.9
8,惡魔蛙男,Museum,0
9,我們的輕狂年代,Everybody Wants Some ,0
10,鋼鐵英雄,Hacksaw Ridge ,0
11,怪物來敲門,A Monster Calls  ,0
12,腸腸搞轟趴,Sausage Party,6.4
13,路易的第9條命,The 9th Life of Louis Drax,6.4
14,育陰房,Shut In,4.5
15,追殺厄夜叢林,Blair Witch,5.3
16,鋼鐵麥斯,Max Steel,4.8
17,一路順風,Godspeed,4.5
18,毛小孩選邊站,Who Gets the Dog?,4.7
19,絕命瘋人院,Villmark asylum,0
20,陰桃術,Cherry Tree,4.1
21,暗殺教室：365日倒數計時,Assassination Classroom the Movie: 365 Days!| Time,0
22,玩命光頭,Public Friends,0
23,只要我長大,Lokah Laqi!I,0
24,玩酷壞痞子,The Preppie Connection,6.2
25,獻給米其林,For Grace,7.4
26,的生命貴客,For Grace,7.4
27,密探,The Age of Shadows,7.4
28,夜行動物,Nocturnal Animals ,0
29,樂來越愛你,La La Land,8.9
30,星際大戰外傳:,Rogue One: A Star Wars Story ,0
31,俠盜一號,Rogue One: A Star Wars Story ,0
32,星際過客,Passengers,5.8
33,長城,The Great Wall ,0
34,決戰異世界5,Underworld: Blood Wars,6.3
35,歡樂好聲音,Sing,7.3
36,最美的安排,Collateral Beauty,5.9
37,惱爸偏頭痛,Why Him?,NA
38,刺客教條,Assassin's Creed ,0
39,墮落天使,Fallen,7
40,失控隧道,Tunnel,0
41,一萬公里的約定,"10,000 Miles",
42,聖誕搞轟趴,FALSE,0
43,擺渡人,The Ferryman,4.7
44,卡內陰,Incarnate,5.4
45,終極車陣: 飆出重圍,Nitro Rush,4.7
46,遇見街貓BOB,A Street Cat Named Bob,7.3
47,瑪麗娜之橋,Marina,7.3
48,通靈美人,Planetarium,5
49,不過就是世界,It's Only the End of the World,7.2
50,末日,It's Only the End of the World,7.2
51,新居風暴,The Salesman,8.5
52,記憶乍響,Louder Than Bombs,6.6
53,金爆內幕,Gold,0
54,再見瓦城,The Road to Mandalay,6.7
55,顛父人生,Toni Erdmann,8.2
56,怪物遊戲,Goosebumps,6.3
57,神鬼獵人,The Revenant ,0
58,大賣空,The Big Short,7.8
59,第5毀滅,The 5th Wave,5.2
60,13小時,13 Hours:The Secret Soldiers of Benghazi ,0
61,翻轉幸福,Joy,6.6
62,女權之聲,Suffragette,6.9
63,愛在他鄉,Brooklyn,7.5
64,史帝夫賈伯斯,Steve Jobs,7.2
65,安諾瑪麗莎,Anomalisa,7.3
66,葉問3,Ip Man 3,7.1
67,瞎趴姊妹,Sisters,6
68,驚天巨浪,The Wave,7.6
69,阿公歐買尬,Dirty Grandpa,6
70,寂寞公路,The End of the Tour  ,0
71,家有兩個爸,Daddy's Home ,0
72,惡女訂製服,The Dressmaker,7.1
73,終極救援,Extraction,6.6
74,鼠來寶4,Alvin and the Chipmunks: The Road Chip ,0
75,聖獄:耶路撒冷,JeruZalem,0
76,我們全家不太熟,We Are Family,5.6
77,新世紀福爾摩斯,Sherlock: The Abominable Bride  ,0
78,45年,45 Years,7.1
79,索爾之子,Son of Saul,7.5
80,銀河街道,Galaxy Turnpike,4.5
81,為愛而生,Ma ma  ,0
82,久美子的奇異旅程,Kumiko,
83,教父啟示錄,Black Souls,6.8
84,妖怪手錶,Yo-kai Watch the Movie,0
85,極地奇蹟,Midnight Sun,7.3
