movieTitle	englishName
魔髮精靈	Trolls
比利林恩的中場戰事	Billy Lynn!|s Long Halftime walk
怪獸與牠們的產地	Fantastic Beasts and Where to Find Them
死亡筆記本:決戰新世界	Death Note: Light up the NEW world
烈火邊境	Free State of Jones
惡魔蛙男	Museum
我們的輕狂年代	Everybody Wants Some
鋼鐵英雄	Hacksaw Ridge
怪物來敲門	A Monster Calls
腸腸搞轟趴	Sausage Party
路易的第9條命	The 9th Life of Louis Drax
育陰房	Shut In
追殺厄夜叢林	Blair Witch
鋼鐵麥斯	Max Steel
一路順風	Godspeed
毛小孩選邊站	Who Gets the Dog?
絕命瘋人院	Villmark asylum
陰桃術	Cherry Tree
暗殺教室：365日倒數計時	Assassination Classroom the Movie: 365 Days!| Time
玩命光頭	Public Friends
只要我長大	Lokah Laqi!I
玩酷壞痞子	The Preppie Connection
獻給米其林的生命貴客	For Grace
密探	The Age of Shadows
夜行動物	Nocturnal Animals
樂來越愛你	La La Land
星際大戰外傳:俠盜一號	Rogue One: A Star Wars Story
星際過客	Passengers
長城	The Great Wall
決戰異世界5	Underworld: Blood Wars
歡樂好聲音	Sing
最美的安排	Collateral Beauty
惱爸偏頭痛	Why Him?
刺客教條	Assassin's Creed
墮落天使	Fallen
失控隧道	Tunnel
一萬公里的約定	10
聖誕搞轟趴	FALSE
擺渡人	The Ferryman
卡內陰	Incarnate
終極車陣: 飆出重圍	Nitro Rush
遇見街貓BOB	A Street Cat Named Bob
瑪麗娜之橋	Marina
通靈美人	Planetarium
不過就是世界末日	It's Only the End of the World
新居風暴	The Salesman
記憶乍響	Louder Than Bombs
金爆內幕	Gold
再見瓦城	The Road to Mandalay
顛父人生	Toni Erdmann
怪物遊戲	Goosebumps
神鬼獵人	The Revenant
大賣空	The Big Short
第5毀滅	The 5th Wave
13小時	13 Hours:The Secret Soldiers of Benghazi
翻轉幸福	Joy
女權之聲	Suffragette
愛在他鄉	Brooklyn
史帝夫賈伯斯	Steve Jobs
安諾瑪麗莎	Anomalisa
葉問3	Ip Man 3
瞎趴姊妹	Sisters
驚天巨浪	The Wave
阿公歐買尬	Dirty Grandpa
寂寞公路	The End of the Tour
家有兩個爸	Daddy's Home
惡女訂製服	The Dressmaker
終極救援	Extraction
鼠來寶4	Alvin and the Chipmunks: The Road Chip
聖獄:耶路撒冷	JeruZalem
我們全家不太熟	We Are Family
新世紀福爾摩斯	Sherlock: The Abominable Bride
45年	45 Years
索爾之子	Son of Saul
銀河街道	Galaxy Turnpike
為愛而生	Ma ma
久美子的奇異旅程	Kumiko
教父啟示錄	Black Souls
妖怪手錶	Yo-kai Watch the Movie
極地奇蹟	Midnight Sun
恐龍當家	The Good Dinosaur
惡棍英雄:死侍	Deadpool
八惡人	The Hateful Eight
震盪效應	Concussion
傲慢與偏見與殭屍	Pride and Prejudice and Zombies
單身啪啪啪	How to Be Single
驚爆焦點	Spotlight
荷魯斯之眼	Gods of Egypt
神廚	Rookie Chef
丹麥女孩	The Danish Girl
扣押幸福	Freeheld
名模大間諜2	Zoolander 2
大尾鱸鰻2	David Loman2
非普通屍戀	Nina Forever
西遊記之孫悟空三打白骨精	The Monkey King 2
動物方城市	Zootopia
人生按個讚	Like Life
好萊塢的黑名單	Trumbo
鬼門開	The Other Side of the Door
年輕氣盛	Youth
不存在的房間	Room
假掰新郎	Marry Me!
臥虎藏龍2	Crouching Tiger
岸邊之旅	Journey to the Shore
全面攻佔2	London Has Fallen
託陰	The Boy
赤誠者	The Divergent Series: Allegiant
蝙蝠俠對超人	Batman v Superman: Dawn of Justice
因為愛你	Carol
絕命救援	The Finest Hours
窒命地	Colonia
少女離家記	Mustang
惡夜殺機	Exposed<U+00A0>
無限春光27	In The Room
帕蒂瑪的顛倒世界	Patema Inverted
單身動物園	The Lobster
五星級魚干女	Welcome to Happy Days
馬克白	Macbeth
錦衣衛─繡春刀	Brotherhood of Blades
聞鬼師	Senior
少年彌賽亞	The Young Messiah
叛逆年代	Life
謊言迷宮	Labyrinth Of Lies
狐仙麗莎煞煞煞	Liza
被遺忘的新娘	A Bride for Rip Van Winkle
黑白	Mole Of Life
功夫熊貓3	Kung Fu Panda 3
狩獵者: 凜冬之戰	The Huntsman Winter!|s War
與森林共舞	The Jungle Book
摩天樓	High-Rise
美國隊長3	Captain America 3: Civil War
科洛弗10號地窖	10 Cloverfield Lane
飛躍奇蹟	Eddie the Eagle
換腦行動	Criminal
非死不可	Friend Request
反擊	Blackway
非法999	Triple 9
天眼行動	Eye in the Sky
暗色天堂	Heaven In the Dark
格雷的五十道黑影	Fifty Shades of Black
夢遊亞馬遜	Embrace of the Serpent
特工爺爺	The Bodyguard
吸特樂回來了！	Look Who's Back
流離者之歌	Dheepan
大犯罪家	The Clan
那些年狂熱戀情	My Golden Days
擊劍大師	The Fencer
性本愛	Love
尋秘街拍客	Finding Vivian Maier
捉妖記	Monster Hunt
計程人生	Taxi
路邊野餐	Kaili Blues
死期大公開	The Brand New Testament
居住正義	99 Homes
快樂告別的方法	The Farewell Party
乳白色的裸女	Foujita
殘穢: 被詛咒的房間	The Inerasable
為什麼貓都叫不來	Neko Nanka Yondemo Kona
愛重逢以後	Valley of Love
蜂狂	Stung
失控謊言	White Lies
情慾莊園	Eva Braun
惡鄰纏身2	Neighbors 2: Sorority Rising
金錢怪獸	Money Monster
X戰警:天啟	X-Men: Apocalypse
魔境夢遊2	Alice Through the Looking Glass
幸福百分百	Mother's Day
禁愛世界	Equals
我媽的希臘婚禮	My Big Fat Greek Wedding 2
安娜華特	The Faith of Anna Waters
最後一堂課	The Final Lesson
帝國戰神	Baahubali: The Beginning
同級生	Doukyuusei
超狂亨利	Hardcore Henry
傻瓜向錢衝	Two Idiots
崩壞人生	Demolition
通靈診療室	Body
走音天后	Florence Foster Jenkins
火星異種	Terra Formars
魔宮魅影	Phantom of the Theatre
我愛妳	
天才無限家	The Man Who Knew Infinity
愛	
真愛有夠殺	Mr. Right
