movieTitle,pttPopularity
魔髮精靈,6
比利林恩的中場戰事,85
怪獸與牠們的產地,133
死亡筆記本:決戰新世界,6
烈火邊境,9
惡魔蛙男,19
我們的輕狂年代,6
鋼鐵英雄,106
怪物來敲門,38
腸腸搞轟趴,25
路易的第9條命,5
育陰房,10
追殺厄夜叢林,6
鋼鐵麥斯,12
一路順風,22
毛小孩選邊站,1
絕命瘋人院,0
陰桃術,0
暗殺教室：365日倒數計時,0
玩命光頭,3
只要我長大,22
玩酷壞痞子,0
獻給米其林的生命貴客,6
密探,17
夜行動物,27
樂來越愛你,93
星際大戰外傳:俠盜一號,2
星際過客,49
長城,28
決戰異世界5,7
歡樂好聲音,40
最美的安排,30
惱爸偏頭痛,6
刺客教條,30
墮落天使,5
失控隧道,11
一萬公里的約定,23
聖誕搞轟趴,4
擺渡人,20
卡內陰,5
終極車陣: 飆出重圍,0
遇見街貓BOB,18
瑪麗娜之橋,1
通靈美人,1
不過就是世界末日,9
新居風暴,10
記憶乍響,9
金爆內幕,1
再見瓦城,38
顛父人生,6
怪物遊戲,12
神鬼獵人,166
大賣空,51
第5毀滅,7
13小時,31
翻轉幸福,16
女權之聲,14
愛在他鄉,19
史帝夫賈伯斯,27
安諾瑪麗莎,13
葉問3,53
瞎趴姊妹,3
驚天巨浪,7
阿公歐買尬,22
寂寞公路,10
家有兩個爸,7
惡女訂製服,13
終極救援,7
鼠來寶4,0
聖獄:耶路撒冷,3
我們全家不太熟,5
新世紀福爾摩斯,31
45年,16
索爾之子,16
銀河街道,5
為愛而生,0
久美子的奇異旅程,6
教父啟示錄,2
妖怪手錶,14
極地奇蹟,2
恐龍當家,16
惡棍英雄:死侍,3
八惡人,56
震盪效應,12
傲慢與偏見與殭屍,11
單身啪啪啪,59
驚爆焦點,89
荷魯斯之眼,33
神廚,20
丹麥女孩,92
扣押幸福,15
名模大間諜2,11
大尾鱸鰻2,52
非普通屍戀,9
西遊記之孫悟空三打白骨精,9
動物方城市,179
人生按個讚,18
好萊塢的黑名單,5
鬼門開,7
年輕氣盛,7
不存在的房間,61
假掰新郎,7
臥虎藏龍2,8
岸邊之旅,4
全面攻佔2,34
託陰,18
赤誠者,7
蝙蝠俠對超人,259
因為愛你,53
絕命救援,31
窒命地,15
少女離家記,11
惡夜殺機,4
無限春光27,6
帕蒂瑪的顛倒世界,6
單身動物園,70
五星級魚干女,30
馬克白,15
錦衣衛─繡春刀,0
聞鬼師,7
少年彌賽亞,3
叛逆年代,4
謊言迷宮,15
狐仙麗莎煞煞煞,3
被遺忘的新娘,21
黑白,23
功夫熊貓3,20
狩獵者: 凜冬之戰,0
與森林共舞,37
摩天樓,25
美國隊長3,511
科洛弗10號地窖,32
飛躍奇蹟,56
換腦行動,14
非死不可,29
反擊,12
非法999,10
天眼行動,13
暗色天堂,9
格雷的五十道黑影,4
夢遊亞馬遜,1
特工爺爺,14
吸特樂回來了！,7
流離者之歌,0
大犯罪家,9
那些年狂熱戀情,1
擊劍大師,5
性本愛,5
尋秘街拍客,6
捉妖記,1
計程人生,12
路邊野餐,17
死期大公開,22
居住正義,2
快樂告別的方法,8
乳白色的裸女,4
殘穢: 被詛咒的房間,0
