"movieTitle" "good1" "good2" "good3" "good4" "bad1" "bad2"
"1" "魔髮精靈" 4 0 0 0 0 0
"2" "比利林恩的中場戰事" 47 0 0 0 2 0
"3" "怪獸與牠們的產地" 34 0 0 0 5 0
"4" "死亡筆記本:決戰新世界" 1 0 0 0 0 0
"5" "烈火邊境" 1 0 0 0 0 0
"6" "惡魔蛙男" 4 0 0 0 0 0
"7" "我們的輕狂年代" 1 0 0 0 0 0
"8" "鋼鐵英雄" 31 0 0 0 1 0
"9" "怪物來敲門" 19 0 0 0 0 0
"10" "腸腸搞轟趴" 8 0 0 0 0 0
"11" "路易的第9條命" 1 0 0 0 0 0
"12" "育陰房" 4 0 0 0 2 0
"13" "追殺厄夜叢林" 2 0 0 0 0 0
"14" "鋼鐵麥斯" 0 0 0 0 3 0
"15" "一路順風" 11 0 0 0 2 0
"16" "毛小孩選邊站" 0 0 0 0 0 0
"17" "絕命瘋人院" 0 0 0 0 0 0
"18" "陰桃術" 0 0 0 0 0 0
"19" "暗殺教室：365日倒數計時" 0 0 0 0 0 0
"20" "玩命光頭" 0 0 0 0 0 0
"21" "只要我長大" 8 0 0 0 0 0
"22" "玩酷壞痞子" 0 0 0 0 0 0
"23" "獻給米其林的生命貴客" 1 0 0 0 0 0
"24" "密探" 4 0 0 0 0 0
"25" "夜行動物" 13 0 0 0 0 0
"26" "樂來越愛你" 48 0 0 0 2 0
"27" "星際大戰外傳:俠盜一號" 1 0 0 0 0 0
"28" "星際過客" 11 3 0 0 6 0
"29" "長城" 0 0 0 0 3 0
"30" "決戰異世界5" 0 0 0 0 2 0
"31" "歡樂好聲音" 8 0 0 0 1 0
"32" "最美的安排" 8 0 0 0 2 0
"33" "惱爸偏頭痛" 2 0 0 0 0 0
"34" "刺客教條" 1 0 0 0 1 0
"35" "墮落天使" 1 0 0 0 1 0
"36" "失控隧道" 1 0 0 0 0 0
"37" "一萬公里的約定" 9 0 0 0 0 0
"38" "聖誕搞轟趴" 0 0 0 0 0 0
"39" "擺渡人" 2 0 0 0 6 0
"40" "卡內陰" 1 0 0 0 0 0
"41" "終極車陣: 飆出重圍" 0 0 0 0 0 0
"42" "遇見街貓BOB" 7 0 0 0 0 0
"43" "瑪麗娜之橋" 1 0 0 0 0 0
"44" "通靈美人" 0 0 0 0 0 0
"45" "不過就是世界末日" 3 0 0 0 0 0
"46" "新居風暴" 5 0 0 0 0 0
"47" "記憶乍響" 3 0 0 0 0 0
"48" "金爆內幕" 0 0 0 0 0 0
"49" "再見瓦城" 9 0 0 0 0 0
"50" "顛父人生" 1 0 0 0 0 0
"51" "怪物遊戲" 4 0 0 0 0 0
"52" "神鬼獵人" 41 0 0 0 16 0
"53" "大賣空" 25 0 0 0 0 0
"54" "第5毀滅" 3 0 0 0 1 0
"55" "13小時" 13 0 0 0 2 0
"56" "翻轉幸福" 4 0 0 0 1 0
"57" "女權之聲" 8 0 0 0 1 0
"58" "愛在他鄉" 13 0 0 0 0 0
"59" "史帝夫賈伯斯" 14 0 0 0 2 0
"60" "安諾瑪麗莎" 10 0 0 0 0 0
"61" "葉問3" 16 0 0 0 1 0
"62" "瞎趴姊妹" 1 0 0 0 0 0
"63" "驚天巨浪" 3 0 0 0 0 0
"64" "阿公歐買尬" 2 0 0 0 3 0
"65" "寂寞公路" 5 0 0 0 0 0
"66" "家有兩個爸" 2 0 0 0 1 0
"67" "惡女訂製服" 4 0 0 0 0 0
"68" "終極救援" 0 0 0 0 2 0
"69" "鼠來寶4" 0 0 0 0 0 0
"70" "聖獄:耶路撒冷" 0 0 0 0 1 0
"71" "我們全家不太熟" 2 0 0 0 1 0
"72" "新世紀福爾摩斯" 13 0 0 0 5 0
"73" "45年" 8 0 0 0 0 0
"74" "索爾之子" 12 0 0 0 0 0
"75" "銀河街道" 0 0 0 0 0 0
"76" "為愛而生" 0 0 0 0 0 0
"77" "久美子的奇異旅程" 3 0 0 0 0 0
"78" "教父啟示錄" 1 0 0 0 0 0
"79" "妖怪手錶" 2 0 0 0 0 0
"80" "極地奇蹟" 0 0 0 0 1 0
"81" "恐龍當家" 4 0 0 0 2 0
"82" "惡棍英雄:死侍" 1 0 0 0 0 0
"83" "八惡人" 24 0 0 0 0 0
"84" "震盪效應" 5 0 0 0 0 0
"85" "傲慢與偏見與殭屍" 5 0 0 0 0 0
"86" "單身啪啪啪" 27 0 0 0 0 0
"87" "驚爆焦點" 48 0 0 0 0 0
"88" "荷魯斯之眼" 19 0 0 0 2 0
"89" "神廚" 5 0 0 0 2 0
"90" "丹麥女孩" 29 0 0 0 1 0
"91" "扣押幸福" 5 0 0 0 2 0
"92" "名模大間諜2" 2 0 0 0 1 0
"93" "大尾鱸鰻2" 6 0 0 0 11 0
"94" "非普通屍戀" 3 0 0 0 0 0
"95" "西遊記之孫悟空三打白骨精" 7 0 0 0 0 0
"96" "動物方城市" 66 0 0 0 5 0
"97" "人生按個讚" 3 0 0 0 1 0
"98" "好萊塢的黑名單" 3 0 0 0 0 0
"99" "鬼門開" 1 0 0 0 1 0
"100" "年輕氣盛" 3 0 0 0 0 0
"101" "不存在的房間" 33 0 0 0 0 0
"102" "假掰新郎" 2 0 0 0 1 0
"103" "臥虎藏龍2" 1 0 0 0 0 0
"104" "岸邊之旅" 2 0 0 0 0 0
"105" "全面攻佔2" 11 0 0 0 4 0
"106" "託陰" 2 0 0 0 3 0
"107" "赤誠者" 1 0 0 0 1 0
"108" "蝙蝠俠對超人" 62 0 0 0 25 0
"109" "因為愛你" 24 0 0 0 0 0
"110" "絕命救援" 10 0 0 0 0 0
"111" "窒命地" 5 0 0 0 0 0
"112" "少女離家記" 10 0 0 0 0 0
"113" "惡夜殺機" 0 0 0 0 1 0
"114" "無限春光27" 3 0 0 0 0 0
"115" "帕蒂瑪的顛倒世界" 1 0 0 0 0 0
"116" "單身動物園" 45 0 0 0 0 0
"117" "五星級魚干女" 12 0 0 0 3 0
"118" "馬克白" 9 0 0 0 0 0
"119" "錦衣衛─繡春刀" 0 0 0 0 0 0
"120" "聞鬼師" 3 0 0 0 1 0
"121" "少年彌賽亞" 0 0 0 0 0 0
"122" "叛逆年代" 2 0 0 0 0 0
"123" "謊言迷宮" 8 0 0 0 0 0
"124" "狐仙麗莎煞煞煞" 1 0 0 0 0 0
"125" "被遺忘的新娘" 10 0 0 0 0 0
"126" "黑白" 3 0 0 0 1 0
"127" "功夫熊貓3" 4 0 0 0 1 0
"128" "狩獵者: 凜冬之戰" 0 0 0 0 0 0
"129" "與森林共舞" 15 0 0 0 1 0
"130" "摩天樓" 6 0 0 0 1 0
"131" "美國隊長3" 195 0 0 0 9 0
"132" "科洛弗10號地窖" 20 0 0 0 0 0
"133" "飛躍奇蹟" 31 0 0 0 0 0
"134" "換腦行動" 3 0 0 0 3 0
"135" "非死不可" 11 0 0 0 2 0
"136" "反擊" 6 0 0 0 2 0
"137" "非法999" 0 0 0 0 1 0
"138" "天眼行動" 8 0 0 0 0 0
"139" "暗色天堂" 3 0 0 0 0 0
"140" "格雷的五十道黑影" 1 0 0 0 0 0
"141" "夢遊亞馬遜" 0 0 0 0 0 0
"142" "特工爺爺" 1 0 0 0 4 0
"143" "吸特樂回來了！" 2 0 0 0 0 0
"144" "流離者之歌" 0 0 0 0 0 0
"145" "大犯罪家" 6 0 0 0 0 0
"146" "那些年狂熱戀情" 0 0 0 0 0 0
"147" "擊劍大師" 5 0 0 0 0 0
"148" "性本愛" 3 0 0 0 0 0
"149" "尋秘街拍客" 1 0 0 0 0 0
"150" "捉妖記" 0 0 0 0 0 0
"151" "計程人生" 4 0 0 0 0 0
"152" "路邊野餐" 12 0 0 0 1 0
"153" "死期大公開" 11 0 0 0 0 0
"154" "居住正義" 1 0 0 0 0 0
"155" "快樂告別的方法" 4 0 0 0 0 0
"156" "乳白色的裸女" 2 0 0 0 0 0
"157" "殘穢: 被詛咒的房間" 0 0 0 0 0 0
"158" "為什麼貓都叫不來" 2 0 0 0 0 0
"159" "愛重逢以後" 2 0 0 0 0 0
"160" "蜂狂" 0 0 0 0 0 0
"161" "失控謊言" 19 0 0 0 1 0
"162" "情慾莊園" 0 0 0 0 0 0
"163" "惡鄰纏身2" 3 0 0 0 2 0
"164" "金錢怪獸" 15 0 0 0 0 0
"165" "X戰警:天啟" 18 0 0 0 0 0
"166" "魔境夢遊2" 0 0 0 0 0 0
"167" "幸福百分百" 1 0 0 0 0 0
"168" "禁愛世界" 5 0 0 0 1 0
"169" "我媽的希臘婚禮" 2 0 0 0 1 0
"170" "安娜華特" 1 0 0 0 3 0
"171" "最後一堂課" 3 0 0 0 0 0
"172" "帝國戰神" 16 0 0 0 0 0
"173" "同級生" 0 0 0 0 0 0
"174" "超狂亨利" 5 0 0 0 1 0
"175" "傻瓜向錢衝" 5 0 0 0 1 0
"176" "崩壞人生" 14 0 0 0 1 0
"177" "通靈診療室" 2 0 0 0 1 0
"178" "走音天后" 18 0 0 0 1 0
"179" "火星異種" 3 0 0 0 2 0
"180" "魔宮魅影" 0 0 0 0 2 0
"181" "我愛妳" 1 0 0 0 0 0
"182" "天才無限家" 26 0 0 0 1 0
"183" "愛" 307 0 0 0 22 0
"184" "真愛有夠殺" 4 0 0 0 2 0
"185" "羊男的冰島冒險" 2 0 0 0 0 0
"186" "瘋狂假面2" 0 0 0 0 0 0
"187" "北京遇上西雅圖之不二情書" 7 0 0 0 0 0
"188" "麥田書香" 0 0 0 0 0 0
"189" "愛人怪物" 4 0 0 0 0 0
"190" "西西里的漫長等待" 1 0 0 0 0 0
"191" "帝國毀滅: 關鍵13分鐘" 0 0 0 0 0 0
"192" "魔物戀人" 2 0 0 0 0 0
"193" "特務超級爸" 0 0 0 0 0 0
"194" "忍者龜2: 破影而出" 0 0 0 0 0 0
"195" "厲陰宅2" 58 0 0 0 2 0
"196" "假會徵信社" 14 0 0 0 1 0
"197" "ID4星際終結者2" 0 0 0 0 1 0
"198" "俺物語!!" 0 0 0 0 0 0
"199" "魔獸:崛起" 10 0 0 0 1 0
"200" "我就要你好好的" 48 0 0 0 16 0
"201" "下女的誘惑" 23 0 0 0 0 0
"202" "信長協奏曲" 6 0 0 0 1 0
"203" "出神入化2" 10 0 0 0 15 0
"204" "梭哈人生" 1 0 0 0 1 0
"205" "萌學園:尋找磐古" 0 0 0 0 0 0
"206" "夢碎天堂" 3 0 0 0 0 0
"207" "憤怒鳥玩電影" 2 0 0 0 0 0
"208" "搖滾青春戀習曲" 19 0 0 0 0 0
"209" "傷物語: <U+9244>血篇" 0 0 0 0 0 0
"210" "深海逃脫" 0 0 0 0 0 0
"211" "師父" 18 0 0 0 0 0
"212" "運河怪談" 1 0 0 0 0 0
"213" "世界之庭" 1 0 0 0 0 0
"214" "遠方禁戀" 3 0 0 0 0 0
"215" "殺人一舉" 1 0 0 0 0 0
"216" "春色蕩漾" 1 0 0 0 0 0
"217" "沉默一瞬" 1 0 0 0 0 0
"218" "水手服與機關槍" 0 0 0 0 0 0
"219" "漢娜鄂蘭─思想的行動" 0 0 0 0 0 0
"220" "泰山傳奇" 3 0 0 0 1 0
"221" "寒戰2" 24 0 0 0 9 0
"222" "魔鬼剋星" 32 0 0 0 3 0
"223" "星際爭霸戰3" 2 0 0 0 0 0
"224" "神鬼認證5" 6 0 0 0 1 0
"225" "寵物當家" 4 0 0 0 3 0
"226" "海底總動員2" 24 0 0 0 2 0
"227" "中央情爆員" 2 0 0 0 1 0
"228" "冰原歷險記5" 0 0 0 0 0 0
"229" "極樂宿舍" 5 0 0 0 12 0
"230" "鬼撕眠" 1 0 0 0 2 0
"231" "國定殺戮日3" 3 0 0 0 1 0
"232" "舞力重擊" 1 0 0 0 0 0
"233" "鬼關燈" 14 0 0 0 1 0
"234" "阿姐萬萬醉" 3 0 0 0 0 0
"235" "哆啦A夢2016" 0 0 0 0 0 0
"236" "恐怖鄰人" 3 0 0 0 3 0
"237" "暗殺教室2" 0 0 0 0 0 0
"238" "異次元凶間" 0 0 0 0 0 0
"239" "名偵探柯南20" 0 0 0 0 0 0
"240" "女人沉睡時" 0 0 0 0 1 0
"241" "六弄咖啡館" 39 0 0 0 15 0
"242" "蝙蝠俠: 致命玩笑" 1 0 0 0 0 0
